ANACOLUTOS	 1. m. Gram. Inconsecuencia en la construcción del discurso.
mayaba	Entradas que contienen la forma «mayaba» | Diccionario de la lengua española | RAE - ASALE
mendocino	1. adj. Natural de Mendoza, ciudad o provincia de la Argentina. U. t. c. s. 2. adj. Perteneciente o relativo a Mendoza o a los mendocinos. 1. adj. desus. Que cree en agüeros, supersticioso.
misoneísta	 1. adj. Hostil a las novedades. Apl. a pers., u. t. c. s.
moderato	1. m. Mús. Movimiento de velocidad intermedia entre la del andante y la del allegro. 2. m. Mús. Composición o parte de ella que se ha de ejecutar como moderato.
moxte	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
ochavo	1. adj. desus. octavo (‖ que es una de las ocho partes de un todo). Era u. t. c. s. m. 2. adj. desus. octavo (‖ que ocupa en una serie el lugar número ocho).
opúsculo	 1. m. Obra científica o literaria de poca extensión.
oxte	1. interj. p. us. U. para rechazar a alguien o algo que molesta, ofende o daña. no decir oxte ni moxte  1. loc. verb. coloq. No decir nada.
oxímetro	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
palomino	 1. m. Pollo de la paloma silvestre. 2. m. coloq. Mancha de excremento en la ropa interior.
panafresco	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
pavesas	1. f. Partecilla ligera que salta de una materia inflamada y acaba por convertirse en ceniza. estar alguien hecho una pavesa 1. loc. verb. coloq. Estar muy extenuado y débil.
pañolón	 1. m. Pañuelo grande, de abrigo.
peer	 1. intr. Arrojar o expeler la ventosidad del vientre por el ano. U. t. c. prnl.
pejiguera	 1. f. coloq. Cosa que, sin aportar gran provecho, acarrea problemas y dificultades. hierba pejiguera
pellas	1. f. Masa que se une y aprieta, regularmente en forma redonda. 2. f. Conjunto de los tallitos de la coliflor y otras plantas semejantes, antes de florecer, que son la parte más delicada y que más se aprecia.
pisaverde	1. m. coloq. Hombre presumido y afeminado, que no conoce más ocupación que la de acicalarse, perfumarse y andar vagando todo el día en busca de galanteos.
pisiforme	 Que forma parte del carpo, y que en el ser humano es el cuarto de la primera fila. U. t. c. s. m.
polendas	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
preboste	1. m. y f. Persona que es cabeza de una comunidad, y la preside o gobierna. 2. m. y f. Persona que en un determinado ámbito político, económico, profesional, etc., tiene una posición de gran poder e importancia.
pringue	1. m. o f. Grasa que suelta el tocino u otra cosa semejante sometida a la acción del fuego. 2. m. o f. Suciedad, grasa o porquería que se pega a la ropa o a otra cosa.
proclisis	 1. f. Gram. Unión prosódica de una o más palabras inacentuadas con la tónica que las sigue.
pundonor	 1. m. Sentimiento que impulsa a una persona a mantener su buena fama y a superarse.
regojo	 1. m. p. us. Muchacho pequeño. 2. m. desus. Pedazo o porción de pan que queda de sobra en la mesa después de haber comido.
regüeldo	 1. m. Acción y efecto de regoldar. 2. m. Cardencha imperfecta que sale en el tallo de la principal.
repantigado	 1. prnl. Arrellanarse en el asiento y extenderse para mayor comodidad.
represando	1. tr. Detener o estancar el agua corriente. U. t. c. prnl. 2. tr. Contener, reprimir. U. t. c. prnl. 3. tr. Recobrar de los enemigos la embarcación que habían apresado.
roborar	 1. tr. Dar fuerza y firmeza a algo. 2. tr. Reforzar con razones o argumentos. 3. tr. desus. Otorgar, confirmar, rubricar algo.
romo	 1. adj. Que carece de punta o filo. 2. adj. De nariz pequeña y poco puntiaguda. macho romo sabina roma
soso	 1. adj. Que no tiene sal, o tiene poca. 2. adj. Que carece de gracia y viveza. Apl. a pers., u. t. c. s.
tafetan	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
trancahílo	 1. m. Nudo o lazo sobrepuesto para que estorbe el paso del hilo o cuerda por alguna parte.
tunante	 1. adj. Pícaro, bribón, taimado. U. t. c. s. 2. adj. desus. Que tuna. Era u. t. c. s.
tuno	1. m. And. y Col. higo de tuna. 1. adj. Pícaro, tunante. U. t. c. s. 2. m. Componente de una tuna (‖ grupo musical de estudiantes). 3. f. Grupo de estudiantes que forman un conjunto musical.
uxoricida	 1. m. y f. Persona que mata a su mujer. U. t. c. adj.
uómbats	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
verja	 1. f. Enrejado que sirve de puerta, ventana o, especialmente, cerca.
versolibrista	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
xilografía	 1. f. Arte de grabar en madera. 2. f. Impresión tipográfica hecha con planchas de madera grabadas.
zullenco	 1. adj. coloq. Que ventosea con frecuencia e involuntariamente o no puede contener la deposición2.
ínclito	 1. adj. Ilustre, esclarecido, afamado.
ñaque	 1. m. Compañía ambulante de teatro que estaba compuesta por dos cómicos. 2. m. p. us. Conjunto o montón de cosas inútiles y ridículas.
ñopo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
repera	 ser algo o alguien la repera 1. loc. verb. coloq. ser la reoca.
reoca	ser algo o alguien la reoca 1. loc. verb. coloq. Ser extraordinario por bueno, malo, absurdo o fuera de lo normal. ¡Fíjate lo que ha hecho! Este chico es la reoca. Un aumento de sueldo sería la reoca.
celesta	 1. f. Instrumento musical de teclado en que los macillos producen el sonido golpeando láminas de acero.
antipoda	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Idiófono	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
armonio	 1. m. Órgano pequeño, con la forma exterior del piano, y al cual se da el aire por medio de un fuelle que se mueve con los pies.
gamelán	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
gamelán	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
gamelan	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
soberbio	1. adj. Que tiene soberbia o se deja llevar de ella. U. t. c. s. 2. adj. Alto, fuerte o excesivo en las cosas inanimadas. 3. adj. Grandioso, magnífico.
soberbia	1. f. Altivez y apetito desordenado de ser preferido a otros. 2. f. Satisfacción y envanecimiento por la contemplación de las propias prendas con menosprecio de los demás.
onomatopeya	1. f. Formación de una palabra por imitación del sonido de aquello que designa. Muchas palabras como quiquiriquí han sido formadas por onomatopeya.
bubi	 De la población indígena de la isla de Bioko, antes Fernando Poo, perteneciente a la Guinea Ecuatorial. U. t. c. s.
bioko	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
atribución	1. f. Acción de atribuir. 2. f. Cada una de las facultades o poderes que corresponden a cada parte de una organización pública o privada según las normas que las ordenen.
Sintagma	1. m. Gram. Palabra o conjunto de palabras que se articula en torno a un núcleo y que puede ejercer alguna función sintáctica. sintagma adjetival, o sintagma adjetivo
cebollo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
aludir	 Tener una relación, a veces velada, con alguien o con otra cosa. El nombre de cianuro alude a su color azul.
motivo	1. adj. Que mueve o tiene eficacia o virtud para mover. 2. m. Causa o razón que mueve para algo. 3. m. En arte, rasgo característico que se repite en una obra o en un conjunto de ellas.
Pasacalle	1. m. pasacalles. 2. m. Arg. y Ur. Cartel que cruza la calzada por lo alto, especialmente con anuncios de campañas políticas, gremiales, religiosas o navideñas.
Contrafagot	 1. m. Instrumento musical, análogo al fagot, cuya tesitura es una octava más grave que la de este.
fagot	1. m. Instrumento musical de viento, formado por un tubo de madera de unos siete centímetros de grueso y más de un metro de largo, con agujeros y llaves, y con una boquilla de caña puesta en un tudel.
pasacalle	1. m. pasacalles. 2. m. Arg. y Ur. Cartel que cruza la calzada por lo alto, especialmente con anuncios de campañas políticas, gremiales, religiosas o navideñas.
recital	1. m. Lectura o recitación de composiciones literarias. 2. m. Concierto compuesto de varias obras ejecutadas por un solo artista con un solo instrumento.
fuga	1. f. Acción de fugarse. 2. f. Salida accidental de gas o de líquido por un orificio o una abertura producidos en su contenedor. 3. f. Mús. Composición que consiste en la repetición de un tema y su contrapunto, con cierto artificio y por diferentes tonos.
contrapunto	1. m. Mús. Concordancia armoniosa de voces contrapuestas. 2. m. Mús. Arte de combinar, según ciertas reglas, dos o más melodías diferentes.
cuadril	1. m. Hueso que sale de la cía, de entre las dos últimas costillas, y sirve para formar el anca. 2. m. anca (‖ mitad lateral de la parte posterior de diversos animales).
cía	 1. f. desus. cea.
cea	 1. f. Hueso de la cadera.
paticure	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
veroño	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
esquijama	 1. m. Pijama compuesto de pantalón ajustado a los tobillos y jersey.
amigovio	 1. m. y f. coloq. Arg., Méx., Par. y Ur. Persona que mantiene con otra una relación de menor compromiso formal que un noviazgo.
birome	 1. f. Arg., Par. y Ur. bolígrafo.
pancho	1. adj. Tranquilo, inalterado. 2. adj. Satisfecho con algo. Tan pancho. 3. m. Cría del besugo. 4. m. coloq. Vientre, barriga, panza. 1. m. Arg. y Ur. perrito caliente. 2. m. Par. Emparedado de chorizo.
besugo	1. m. Pez teleósteo marino, acantopterigio, de color rosáceo, generalmente con una mancha negra en la zona de las aletas pectorales, ojos grandes y cuya carne es muy apreciada.
teleósteo	 Que tiene el esqueleto completamente osificado. U. t. c. s. m., en pl. como taxón.
acantopterigio	 Del grupo de los teleósteos, cuyas aletas, por lo menos las impares, tienen radios espinosos inarticulados; p. ej., el atún, el pez espada o el besugo. U. t. c. s. m., en pl. como taxón.
taxón	1. m. Biol. Cada una de las subdivisiones de la clasificación biológica, desde la especie, que se toma como unidad, hasta el filo o tipo de organización.
tremor	 1. m. temblor. 2. m. Comienzo del temblor.
emoticon	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
emoticón	 1. m. emoticono. U. m. en Am.
emoticono	1. m. Símbolo formado por signos del teclado, que representa una expresión facial y se usa en los mensajes electrónicos para expresar el estado de ánimo del emisor o el tono del mensaje. U. m. en Esp.
emoji	 1. m. Pequeña imagen o icono digital que se usa en las comunicaciones electrónicas para representar una emoción, un objeto, una idea, etc.
meme	1. m. Rasgo cultural o de conducta que se transmite por imitación de persona a persona o de generación en generación. 2. m. Imagen, video o texto, por lo general distorsionado con fines caricaturescos, que se difunde principalmente a través de internet.
rodríguez	1. m. coloq. Hombre casado que se queda trabajando mientras su familia está fuera, normalmente de veraneo. Anda, está, se queda de rodríguez.
pibón	 1. m. coloq. Esp. Persona muy atractiva.
topónimo	 1. m. Ling. Nombre propio de lugar.
neologismo	 1. m. Ling. Vocablo, acepción o giro nuevo en una lengua. 2. m. Ling. Uso de neologismos.
rugbista	 1. m. y f. Chile, Ur. y Ven. Jugador de rugby.
curlin	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
anfibología	1. f. Doble sentido, vicio de la palabra, cláusula o manera de hablar a que puede darse más de una interpretación. 2. f. Ret. Empleo voluntario de voces o cláusulas con doble sentido.
hipar	 Resollar cuando va siguiendo la caza. 3. intr. Fatigarse por el exceso de trabajo o angustiarse mucho.
resollar	 Absorber y expeler el aire por sus órganos respiratorios. 2. intr. Salir o aliviarse del trabajo o de la opresión.
himplar	 Emitir su voz natural. 2. intr. himpar.
iniquidad	 1. f. Maldad, injusticia grande.
bises	Entradas que contienen la forma «bises» | Diccionario de la lengua española | RAE - ASALE
bis	1. m. En un concierto o en un espectáculo teatral, pieza o fragmento, a veces repetición de algo interpretado antes, que se ofrece fuera de programa para responder a los aplausos o a la petición del público.
timorato	 Que se escandaliza con exageración de cosas que no le parecen conformes a la moral convencional.
cepa	1. f. Parte del tronco de cualquier árbol o planta, que está dentro de tierra y unida a las raíces. 2. f. Tronco de la vid, del cual brotan los sarmientos, y, por ext., toda la planta.
rabadilla	1. f. Punta o extremidad de la columna vertebral, formada por la última pieza del hueso sacro y por todas las del coxis. 2. f. En las aves, extremidad movible en donde están las plumas de la cola.
ramiro	 1. m. p. us. carnero (‖ macho de la oveja).
numulario	 1. m. Hombre que comercia o trata con dinero.
postero	 1. m. y f. Esp. Persona que tenía a su cargo un puesto de lotería.
lotería	1. f. lotería nacional. 2. f. Rifa o sorteo que se hace con objetos, dinero y otras cosas, con autorización pública. 3. f. lotería de cartones.
rifa	 1. f. Juego que consiste en sortear algo entre varias personas. 2. f. Contienda, pendencia, enemistad.
pendencia	1. f. Contienda, riña de palabras o de obras. 2. f. Der. Estado de un juicio que está pendiente de resolución. 3. f. desus. Cualidad de lo que está por decidir.
metonimia	1. f. Ret. Tropo que consiste en designar algo con el nombre de otra cosa tomando el efecto por la causa o viceversa, el autor por sus obras, el signo por la cosa significada, etc.; p. ej., las canas por la vejez; leer a Virgilio, por leer las obras de Virgilio; el laurel por la gloria, etc.
be	1. f. Letra b y sonido que representa. be alta, be grande, o be larga 1. f. be1. U. m. en Am. be por be 1. loc. adv. p. us. ce por be. 1. onomat. U. para imitar el balido del carnero, de la oveja y de la cabra. U. t. c. s. m.
ubérrimo	 1. adj. Muy abundante y fértil.
cascanueces	 1. m. Instrumento a modo de tenaza para partir nueces. 2. m. Pájaro conirrostro de la familia de los fringílidos.
conirrostro	 Granívoro, con el pico grueso, fuerte y cónico; p. ej., el gorrión o la alondra. U. t. c. s. m., y era u. en pl. como taxón.
Geospiza	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Granívoro	 Que se alimenta de granos. U. t. c. s. m.
taxón	1. m. Biol. Cada una de las subdivisiones de la clasificación biológica, desde la especie, que se toma como unidad, hasta el filo o tipo de organización.
alondra	1. f. Pájaro de 15 a 20 cm de largo, de cola ahorquillada, con cabeza y dorso de color pardo terroso y vientre blanco sucio, que anida en los campos de cereales, come insectos y granos, y abunda en toda España.
dossier	 1. m. dosier.
dosier	 1. m. Informe o expediente.
omnibus	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
omni	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
lívido	 1. adj. amoratado. 2. adj. Intensamente pálido.
oxígeno	1. m. Elemento químico gaseoso, de núm. atóm. 8, incoloro, inodoro, insípido y muy reactivo, presente en todos los seres vivos, esencial para la respiración y para los procesos de combustión, que forma parte del agua, de los óxidos y de casi todos los ácidos y sustancias orgánicas, y constituye casi una quinta parte del aire atmosférico en su forma molecular O2. (Símb. O).
algarabia	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
algarabía	1. f. coloq. Gritería confusa de varias personas que hablan a un tiempo. 2. f. coloq. Lengua atropellada o ininteligible. 3. f. p. us. árabe (‖ lengua).
machuchón	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
machucho	 Juiciosa y experimentada. Era un hombre cabal y machucho.
navidad	1. f. En el mundo cristiano, festividad anual en la que se conmemora el nacimiento de Jesucristo. 2. f. Día en que se celebra la Navidad. Hoy es Nochebuena y mañana Navidad.
caderamen	 1. m. coloq. Esp. Caderas de mujer, generalmente voluminosas.
carapacho	1. m. Caparazón de las tortugas, los cangrejos y otros animales. 2. m. coloq. Ven. esqueleto (‖ conjunto de piezas que da consistencia al cuerpo).
carcavuezo	 1. m. Hoyo profundo en la tierra.
carnazón	 1. f. Sal. Inflamación de una herida.
carne	1. f. Parte muscular del cuerpo humano o animal. 2. f. carne comestible de vaca, ternera, cerdo, carnero, etc., y muy señaladamente la que se vende para el abasto común del pueblo.
carranco	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
carranca	 1. f. carlanca (‖ collar de puntas de hierro). 1. f. coloq. Ál. Capa de hielo en las charcas y lagunas.
catetada	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Revenirse	 Acedarse o avinagrarse.
Revenir	 Acedarse o avinagrarse.
esbirro	1. m. Oficial inferior de justicia que se encargaba de prender a los delincuentes. 2. m. y f. despect. Persona que ejecuta las órdenes de otra o de una autoridad, especialmente si para ello debe emplear la violencia.
Abigeato	 1. m. Arg., Bol., Chile, Col., Ec., El Salv., Hond., Méx., Nic., Pan., Par., Perú y Ur. Hurto de ganado.
Ansí	 1. adv. desus. así. U. c. rur.
Aporofobia	 1. f. cult. Fobia a las personas pobres o desfavorecidas.
Aposta	 1. adv. coloq. adrede.
Ateridos	 1. tr. Pasmar de frío. U. m. c. prnl.
BIBELOT	 1. m. Figura pequeña de adorno.
Bullebulle	 1. m. y f. coloq. Persona inquieta, entremetida y de viveza excesiva.
Bínubo	 1. adj. Casado por segunda vez. U. t. c. s.
Calderón	1. m. Cetáceo de hasta cinco metros de longitud, de cabeza voluminosa, casi globosa, y de aletas pectorales estrechas y largas. Es de color blanquecino por debajo y negro por encima, suele ir en bandadas y se alimenta principalmente de calamares.
Caluguiento	 Afectuosa en exceso.
Cansón	 Que se agota pronto.
Canto	Entradas que contienen la forma «Canto» | Diccionario de la lengua española | RAE - ASALE
Celesta	 1. f. Instrumento musical de teclado en que los macillos producen el sonido golpeando láminas de acero.
Centonar	 1. tr. p. us. Amontonar cosas o trozos de ellas sin el orden debido.
Chapaleteo	 1. m. Acción y efecto de chapaletear. 2. m. Ruido que al caer produce la lluvia.
Chischás	 1. m. Ruido de las espadas al chocar unas con otras en la lucha.
Chándal	 1. m. Ropa deportiva que consta de un pantalón y una chaqueta o jersey amplios.
DESTELLO	1. m. Acción de destellar. 2. m. Resplandor vivo y efímero, ráfaga de luz que se enciende y amengua o apaga casi instantáneamente. 3. m. vislumbre (‖ conjetura).
Efugio	 1. m. Evasión, salida, recurso para sortear una dificultad.
Envarracarse	 1. prnl. coloq. El Salv. Enamorarse ciegamente.
Etnomusicología	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Facta	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Gallete	 1. m. Úvula, garganta. beber a gallete 1. loc. verb. Beber a chorro de un botijo, bota o porrón, sin tocar el pico los labios.
Himplar	 Emitir su voz natural. 2. intr. himpar.
Junar	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Marinovio	1. m. y f. coloq. Cuba. Persona con quien se mantiene una relación amorosa y sexual estable sin casarse. En Ven., u. solo el m. 2. m. pl. El Salv. Novios que viven como marido y mujer.
Meteco	1. adj. despect. extranjero. U. m. c. s. 2. m. y f. En la antigua Grecia, extranjero que se establecía en Atenas y que no gozaba de los derechos de ciudadanía. U. t. c. adj.
Mor	 por mor de 1. loc. prepos. cult. Por causa de.
Opúsculos	 1. m. Obra científica o literaria de poca extensión.
Panderetas	 1. m. y f. C. Rica. Persona excesivamente religiosa.
Picio	 Excesivamente fea.
RUIBARBO	1. m. Planta herbácea, vivaz, de la familia de las poligonáceas, con hojas radicales, grandes, pecioladas, de borde dentado y sinuoso, ásperas por encima, nervudas y vellosas por debajo, y flores amarillas o verdes, pequeñas, en espigas, sobre un escapo fistuloso y esquinado. Mide de uno a dos metros de altura, tiene fruto seco, de una sola semilla triangular, y rizoma pardo por fuera, rojizo con puntos blancos en lo interior, compacto y de sabor amargo. Vive en el Asia central y la raíz se usa mucho en medicina como purgante.
Reamar	 1. tr. Amar mucho. 2. tr. desus. Corresponder al amor.
Redaño	 1. m. Anat. mesenterio. 2. m. pl. Fuerzas, bríos, valor.
Resopón	1. m. Esp. Segunda cena, más ligera, que se hace generalmente tras una fiesta o cuando pasa mucho tiempo entre la cena y la hora de acostarse.
Susurrido	 1. m. Ruido suave que hacen algunas cosas naturales.
Trasbarrás	 1. m. Ruido que produce algo al caer.
Turulo	 tonta (‖ falta de entendimiento o de razón). 2. m. Nic. cosa (‖ objeto inanimado).
Velicomen	 1. m. p. us. Copa grande para brindar.
Zopa	 Que tiene torcidos o contrahechos los pies o las manos.
ab	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
acarnienses	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
adarce	 1. m. Costra salina que las aguas del mar forman en los objetos que mojan.
aféresis	 1. f. Fon. Supresión de algún sonido al principio de un vocablo, como en norabuena por enhorabuena.
agible	 1. adj. Factible o hacedero.
agibílibus	 1. m. coloq. Habilidad, ingenio, a veces pícaro, para desenvolverse en la vida. 2. m. coloq. Persona que tiene agibílibus.
alacridad	 1. f. Alegría y presteza del ánimo para hacer algo.
aladares	 1. m. Mechón de pelo que cae sobre cada una de las sienes. U. m. en pl.
alipori	 1. m. coloq. vergüenza ajena.
apero	1. m. Conjunto de instrumentos y demás cosas necesarias para la labranza. U. m. en pl. 2. m. Instrumento que se emplea en la labranza. 3. m. Conjunto de animales destinados en una hacienda a las faenas agrícolas. U. m. en pl.
apócope	 1. f. Fon. Supresión de algún sonido al final de un vocablo, como en primer por primero.
arrebol	1. m. poét. Color rojo, especialmente el de las nubes iluminadas por los rayos del sol o el del rostro. 2. m. colorete (‖ cosmético). 3. m. pl. arrebolada.
autolisis	 1. f. suicidio (‖ acción de suicidarse). 2. f. Biol. Degradación de las células por sus propias enzimas.
belonefobia	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
bojs	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
borde	1. m. Extremo u orilla de algo. 2. m. En una vasija, orilla o labio que tiene alrededor de la boca. 3. m. Mar. borda (‖ canto superior del costado de un buque).
bucán	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
carne	1. f. Parte muscular del cuerpo humano o animal. 2. f. carne comestible de vaca, ternera, cerdo, carnero, etc., y muy señaladamente la que se vende para el abasto común del pueblo.
cebollo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
cerril	 Que se obstina en una actitud o parecer, sin admitir trato ni razonamiento.
cherchar	 1. intr. Burlar, bromear.
chori	 1. m. y f. vulg. Ratero, ladronzuelo.
chulérrimos	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
congrua	 V. congruo.
corzos	1. m. y f. Mamífero rumiante de la familia de los cérvidos, algo mayor que la cabra, rabón y de color gris rojizo, que tiene las cuernas pequeñas, verrugosas y ahorquilladas hacia la punta. U. en m. ref. a la especie.
cuspidor	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
desternillaba	 1. prnl. Romperse las ternillas. 2. prnl. Reírse mucho, sin poder contenerse.
dintel	1. m. Pieza horizontal superior de puertas, ventanas y otros huecos, apoyada en sus extremos sobre las jambas y destinada a soportar cargas.
emético	 1. adj. Med. vomitivo (‖ que provoca el vómito). Apl. a medicamento u otro producto, u. t. c. s. m. tártaro emético
enteco	 1. adj. Enfermizo, débil, flaco.
escrucar	 1. tr. Bad. Revolver la comida en el plato.
fardar	1. tr. Surtir y abastecer a alguien, especialmente de ropa y vestidos. U. t. c. prnl. 2. intr. coloq. Esp. Presumir, jactarse, alardear. 3. intr. coloq. Esp. Servir para alardear, por lo vistoso o aparente. Ese coche farda mucho.
fetén	1. adj. Bueno, estupendo, excelente. Conocí a una chica fetén. 2. adj. coloq. Sincero, auténtico, verdadero, evidente. 3. f. coloq. La verdad. La fetén.
frangir	 1. tr. Partir o dividir algo en pedazos.
fruitivos	 1. adj. Propio para causar placer con su posesión.
gleba	1. f. Terrón que se levanta con el arado. 2. f. Tierra de cultivo. 3. f. Gente del pueblo bajo. 4. f. Hues. Terreno cubierto de césped. siervo de la gleba
gosipino	 Que tiene algodón o se parece a él.
hipar	 Resollar cuando va siguiendo la caza. 3. intr. Fatigarse por el exceso de trabajo o angustiarse mucho.
horrísona	 1. adj. Que con su sonido causa horror y espanto.
hortera	1. adj. despect. coloq. Vulgar y de mal gusto. Apl. a pers., u. t. c. s. 2. f. Escudilla o cazuela de palo. 3. m. En Madrid, apodo del mancebo de ciertas tiendas de mercader.
inconcuso	 1. adj. Firme, sin duda ni contradicción.
indinar	 1. tr. vulg. indignar. U. t. c. prnl.
lipograma	 1. m. Texto en el que, por artificio literario, se omiten deliberadamente una determinada letra o un grupo de letras.
límpido	 1. adj. poét. Limpio, terso, puro, sin mancha.
noctívago	 1. adj. poét. noctámbulo (‖ que anda vagando). Apl. a pers., u. t. c. s.
nártex	 1. m. Arq. Atrio o vestíbulo situado a la entrada de las iglesias paleocristianas y bizantinas.
paleto	 Rústica y sin habilidad para desenvolverse en ambientes urbanos. U. m. c. s.
paroxismo	1. m. Exaltación extrema de los afectos y pasiones. 2. m. Med. Exacerbación de una enfermedad. 3. m. Med. Accidente peligroso o casi mortal, en que el paciente pierde el sentido y la acción por largo tiempo.
percebe	1. m. Crustáceo cirrópodo, que tiene un caparazón compuesto de cinco piezas y un pedúnculo carnoso con el cual se adhiere a los peñascos de las costas. Se cría formando grupos y es comestible.
perífrasis	1. f. Gram. Expresión pluriverbal cuyo significado se asimila parcialmente al de una unidad léxica. La perífrasis echar una conversada se asimila al verbo conversar.
postigo	1. m. Puerta falsa que ordinariamente está colocada en sitio excusado de la casa. 2. m. Puerta que está fabricada en una pieza sin tener división ni más de una hoja, la cual se asegura con llave, cerrojo, picaporte, etc.
preuvas	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
rabadilla	1. f. Punta o extremidad de la columna vertebral, formada por la última pieza del hueso sacro y por todas las del coxis. 2. f. En las aves, extremidad movible en donde están las plumas de la cola.
rataplán	1. onomat. U. para imitar el sonido del tambor. 2. m. En los diarios, resumen en primera página de una noticia que se publica en el interior.
rebusque	1. m. Arg., Col., Nic. y Ur. Solución ocasional e ingeniosa con que se resuelve una dificultad. 2. m. Arg., Nic., Par., Ur. y Ven. Acción y efecto de rebuscársela.
refajo	1. m. Falda exterior con vuelo, por lo general de bayeta o paño, usada por las mujeres encima de las enaguas y que forma parte de algunos trajes regionales femeninos.
resollar	 Absorber y expeler el aire por sus órganos respiratorios. 2. intr. Salir o aliviarse del trabajo o de la opresión.
retorta	1. f. Vasija con cuello largo encorvado, a propósito para diversas operaciones químicas. 2. f. Tela de hilo entrefina y de gran resistencia, con la trama y urdimbre muy retorcidas.
roma	Entradas que contienen la forma «roma» | Diccionario de la lengua española | RAE - ASALE
rugbista	 1. m. y f. Chile, Ur. y Ven. Jugador de rugby.
rusiente	 1. adj. Que se pone rojo o candente con el fuego.
sacomano	1. m. saqueo. 2. m. desus. Salteador de caminos. 3. m. desus. Soldado dedicado a forrajear. entrar, o meter, a sacomano 1. locs. verbs. saquear.
sicofanta	 1. m. Impostor, calumniador.
sisear	1. intr. Emitir repetidamente el sonido inarticulado de s y ch, por lo común para manifestar desaprobación o desagrado, o para pedir silencio. U. t. c. tr. Sisear una escena, a un orador.
solivianta	1. tr. Mover el ánimo de alguien para inducirle a adoptar alguna actitud rebelde u hostil. U. t. c. prnl. 2. tr. Inquietar o alterar a alguien.
soto	1. m. Sitio que en las riberas o vegas está poblado de árboles y arbustos. 2. m. Sitio poblado de árboles y arbustos. 3. m. Sitio poblado de malezas, matas y árboles.
termopolio	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
titar	 Graznar para llamar a la manada.
titulitis	 1. f. despect. coloq. Valoración desmesurada de los títulos y certificados de estudios como garantía de los conocimientos de alguien.
traspillar	 1. tr. traspellar. 2. prnl. Desfallecer, extenuarse.
tutiplén	 a tutiplén 1. loc. adv. coloq. En abundancia, a porrillo.
tutía	1. f. atutía. no hay tutía   1. expr. coloq. U. para dar a entender a alguien que no debe tener esperanza de conseguir lo que desea o de evitar lo que teme.
